name,food_group,food_subgroup
Poppy,Herbs and Spices,Oilseed crops
Passion fruit,Fruits,Tropical fruits
Parsnip,Vegetables,Root vegetables
Avocado,Vegetables,Fruit vegetables
Parsley,Herbs and Spices,Herbs
Scarlet bean,Pulses,Beans
Lima bean,Pulses,Beans
Common bean,Pulses,Beans
Date,Fruits,Other fruits
Black chokeberry,Fruits,Berries
Anise,Herbs and Spices,Herbs
Pine nut,Nuts,Nuts
Black pepper,Herbs and Spices,Spices
Pistachio,Nuts,Nuts
Common pea,Pulses,Peas
Purslane,Herbs and Spices,Herbs
Prunus,Fruits,Drupes
Apricot,Fruits,Drupes
Sweet cherry,Fruits,Drupes
Sour cherry,Fruits,Drupes
European plum,Fruits,Drupes
Almond,Nuts,Nuts
Peach,Fruits,Drupes
Guava,Fruits,Tropical fruits
Pomegranate,Fruits,Tropical fruits
Pear,Fruits,Pomes
Radish,Vegetables,Root vegetables
Garden rhubarb,Vegetables,Stalk vegetables
Blackcurrant,Fruits,Berries
Redcurrant,Fruits,Berries
Gooseberry,Fruits,Berries
Watercress,Herbs and Spices,Herbs
Rosemary,Herbs and Spices,Herbs
Rubus,Fruits,Berries
Cloudberry,Fruits,Berries
Red raspberry,Fruits,Berries
Black raspberry,Fruits,Berries
Sorrel,Herbs and Spices,Herbs
Common sage,Herbs and Spices,Herbs
Black elderberry,Fruits,Berries
Summer savory,Herbs and Spices,Herbs
Winter savory,Herbs and Spices,Herbs
Rye,Cereals and cereal products,Cereals
Sesame,Herbs and Spices,Oilseed crops
Garden tomato,Vegetables,Fruit vegetables
Cherry tomato,Vegetables,Fruit vegetables
Garden tomato,Vegetables,Fruit vegetables
Eggplant,Vegetables,Fruit vegetables
Potato,Vegetables,Tubers
Rowanberry,Fruits,Berries
Sorghum,Cereals and cereal products,Cereals
Spinach,Vegetables,Leaf vegetables
Cloves,Herbs and Spices,Spices
Tamarind,Fruits,Tropical fruits
Dandelion,Herbs and Spices,Herbs
Cocoa bean,Cocoa and cocoa products,Cocoa
Common thyme,Herbs and Spices,Herbs
Linden,Herbs and Spices,Herbs
Small-leaf linden,Herbs and Spices,Herbs
Fenugreek,Herbs and Spices,Herbs
Common wheat,Cereals and cereal products,Cereals
Vaccinium,Fruits,Berries
Lowbush blueberry,Fruits,Berries
Sparkleberry,Fruits,Berries
Highbush blueberry,Fruits,Berries
American cranberry,Fruits,Berries
Bilberry,Fruits,Berries
Lingonberry,Fruits,Berries
Vanilla,Herbs and Spices,Spices
Common verbena,Herbs and Spices,Herbs
Broad bean,Pulses,Beans
Adzuki bean,Pulses,Beans
Gram bean,Pulses,Beans
Mung bean,Pulses,Beans
Climbing bean,Pulses,Beans
Cowpea,Pulses,Peas
Muscadine grape,Fruits,Berries
Common grape,Fruits,Berries
Corn,Cereals and cereal products,Cereals
Ginger,Herbs and Spices,Spices
Arctic blackberry,Fruits,Berries
Banana,Fruits,Tropical fruits
Bayberry,Fruits,Berries
Elliott's blueberry,Fruits,Berries
Canada blueberry,Fruits,Berries
Bog bilberry,Fruits,Berries
Buffalo currant,Fruits,Berries
Celeriac,Vegetables,Root vegetables
Celery stalks,Vegetables,Stalk vegetables
Chinese chives,Herbs and Spices,Herbs
European cranberry,Fruits,Berries
Deerberry,Fruits,Berries
Ginseng,Herbs and Spices,Spices
Cascade huckleberry,Fruits,Berries
Oval-leaf huckleberry,Fruits,Berries
Evergreen huckleberry,Fruits,Berries
Red huckleberry,Fruits,Berries
Longan,Fruits,Tropical fruits
Macadamia nut,Nuts,Nuts
Garden onion,Vegetables,Onion-family vegetables
Summer grape,Fruits,Berries
Fox grape,Fruits,Berries
Nectarine,Fruits,Drupes
Peach,Fruits,Drupes
Rambutan,Fruits,Tropical fruits
Red rice,Cereals and cereal products,Cereals
Annual wild rice,Cereals and cereal products,Cereals
Swiss chard,Vegetables,Leaf vegetables
Lemon thyme,Herbs and Spices,Herbs
Tronchuda cabbage,Vegetables,Cabbages
Japanese walnut,Nuts,Nuts
Welsh onion,Herbs and Spices,Herbs
Hard wheat,Cereals and cereal products,Cereals
Shallot,Vegetables,Onion-family vegetables
Rocket salad,Vegetables,Leaf vegetables
Carrot,Vegetables,Root vegetables
Triticale,Cereals and cereal products,Cereals
Black cabbage,Vegetables,Cabbages
Half-highbush blueberry,Fruits,Berries
Celery leaves,Herbs and Spices,Herbs
Chicory leaves,Vegetables,Leaf vegetables
Komatsuna,Vegetables,Cabbages
Pak choy,Vegetables,Cabbages
Napa cabbage,Vegetables,Cabbages
Chicory roots,Vegetables,Root vegetables
Grapefruit/Pummelo hybrid,Fruits,Citrus
Grapefruit,Fruits,Citrus
Jostaberry,Fruits,Berries
Kai-lan,Vegetables,Cabbages
Italian oregano,Herbs and Spices,Herbs
Oxheart cabbage,Vegetables,Cabbages
Daikon radish,Vegetables,Root vegetables
Black radish,Vegetables,Root vegetables
Radish,Vegetables,Root vegetables
Red beetroot,Vegetables,Root vegetables
Sweet rowanberry,Fruits,Berries
Pineappple sage,Herbs and Spices,Herbs
Skunk currant,Fruits,Berries
Beer,Beverages,Fermented beverages
Other bread,Cereals and cereal products,Other breads
Breakfast cereal,Cereals and cereal products,Cereal products
Other soy product,Soy,Soy products
Other cereal product,Cereals and cereal products,Cereal products
Pasta,Cereals and cereal products,Cereal products
Biscuit,Cereals and cereal products,Cereal products
Sourdough,Cereals and cereal products,Doughs
Spirit,Beverages,Distilled beverages
Fortified wine,Beverages,Fortified wines
Other alcoholic beverage,Beverages,Alcoholic beverages
Abalone,Aquatic foods,Mollusks
Abiyuch,Fruits,Tropical fruits
Acerola,Fruits,Tropical fruits
Acorn,Nuts,Nuts
Winter squash,Gourds,Gourds
Agar,Aquatic foods,Seaweed
Red king crab,Aquatic foods,Crustaceans
Alfalfa,Herbs and Spices,Herbs
Allspice,Herbs and Spices,Spices
Amaranth,Herbs and Spices,Herbs
Arrowhead,Vegetables,Tubers
Arrowroot,Vegetables,Tubers
Asian pear,Fruits,Pomes
Atlantic herring,Aquatic foods,Fishes
Atlantic mackerel,Aquatic foods,Fishes
Painted comber,Aquatic foods,Fishes
Atlantic pollock,Aquatic foods,Fishes
Atlantic wolffish,Aquatic foods,Fishes
Bamboo shoots,Vegetables,Shoot vegetables
Striped bass,Aquatic foods,Fishes
Beech nut,Nuts,Nuts
Beluga whale,Aquatic foods,Cetaceans
Bison,Animal foods,Bovines
Alaska blackfish,Aquatic foods,Fishes
Blue crab,Aquatic foods,Crustaceans
Blue mussel,Aquatic foods,Mollusks
Northern bluefin tuna,Aquatic foods,Fishes
Bluefish,Aquatic foods,Fishes
Wild boar,Animal foods,Swine
Bowhead whale,Aquatic foods,Cetaceans
Breadfruit,Fruits,Tropical fruits
Breadnut tree seed,Herbs and Spices,Other seeds
Rapini,Vegetables,Cabbages
Buffalo,Animal foods,Bovines
Burbot,Aquatic foods,Fishes
Giant butterbur,Vegetables,Other vegetables
American butterfish,Aquatic foods,Fishes
Butternut,Nuts,Nuts
Butternut squash,Gourds,Gourds
Calabash,Gourds,Gourds
Cardoon,Vegetables,Shoot vegetables
Natal plum,Fruits,Tropical fruits
Carob,Vegetables,Other vegetables
Common carp,Aquatic foods,Fishes
Cassava,Vegetables,Tubers
Channel catfish,Aquatic foods,Fishes
Chayote,Gourds,Gourds
Cherimoya,Fruits,Tropical fruits
Chervil,Herbs and Spices,Spices
Chia,Herbs and Spices,Other seeds
Chicken,Animal foods,Poultry
Chinese broccoli,Vegetables,Cabbages
Chinese chestnut,Nuts,Nuts
Chinese water chestnut,Vegetables,Other vegetables
Garland chrysanthemum,Vegetables,Leaf vegetables
Cisco,Aquatic foods,Fishes
Nuttall cockle,Aquatic foods,Mollusks
Coconut,Fruits,Tropical fruits
Pacific cod,Aquatic foods,Fishes
Atlantic cod,Aquatic foods,Fishes
Common octopus,Aquatic foods,Mollusks
Corn salad,Vegetables,Leaf vegetables
Cottonseed,Herbs and Spices,Oilseed crops
Catjang pea,Pulses,Peas
Malus (Crab apple),Fruits,Pomes
Squashberry,Fruits,Berries
Atlantic croaker,Aquatic foods,Fishes
Cusk,Aquatic foods,Fishes
Cuttlefish,Aquatic foods,Mollusks
Mule deer,Animal foods,Venison
Devilfish,Aquatic foods,Fishes
Dock,Herbs and Spices,Herbs
Dolphin fish,Aquatic foods,Fishes
Freshwater drum,Aquatic foods,Fishes
Mallard duck,Animal foods,Poultry
Dungeness crab,Aquatic foods,Crustaceans
Durian,Fruits,Tropical fruits
Eastern oyster,Aquatic foods,Mollusks
Freshwater eel,Aquatic foods,Fishes
Elderberry,Fruits,Berries
Elk,Animal foods,Venison
Emu,Animal foods,Poultry
Oregon yampah,Vegetables,Root vegetables
European anchovy,Aquatic foods,Fishes
European chestnut,Nuts,Nuts
Turbot,Aquatic foods,Fishes
Fireweed,Herbs and Spices,Herbs
Florida pompano,Aquatic foods,Fishes
Ginkgo nuts,Herbs and Spices,Other seeds
Greylag goose,Animal foods,Poultry
Grape,Fruits,Berries
Greenland halibut/turbot,Aquatic foods,Fishes
Groundcherry,Vegetables,Fruit vegetables
Grouper,Aquatic foods,Fishes
Guinea hen,Animal foods,Poultry
Haddock,Aquatic foods,Fishes
Hippoglossus (Common halibut),Aquatic foods,Fishes
Hazelnut,Nuts,Nuts
Hickory nut,Nuts,Nuts
Horse,Animal foods,Equines
Horseradish tree,Vegetables,Other vegetables
Alaska blueberry,Fruits,Berries
Hyacinth bean,Pulses,Beans
Irish moss,Aquatic foods,Seaweed
Pacific jack mackerel,Aquatic foods,Fishes
Jackfruit,Fruits,Tropical fruits
Japanese chestnut,Nuts,Nuts
Java plum,Fruits,Tropical fruits
Jerusalem artichoke,Vegetables,Tubers
Jujube,Fruits,Other fruits
Jute,Vegetables,Leaf vegetables
Kale,Vegetables,Cabbages
Kelp,Aquatic foods,Seaweed
King mackerel,Aquatic foods,Fishes
Kumquat,Fruits,Tropical fruits
Lambsquarters,Vegetables,Leaf vegetables
Leather chiton,Aquatic foods,Mollusks
Wild leek,Vegetables,Onion-family vegetables
Common ling,Aquatic foods,Fishes
Lingcod,Aquatic foods,Fishes
American lobster,Aquatic foods,Crustaceans
Loganberry,Fruits,Berries
Lotus,Herbs and Spices,Other seeds
Sacred lotus,Vegetables,Other vegetables
White lupine,Pulses,Other pulses
Malabar spinach,Vegetables,Leaf vegetables
Mammee apple,Fruits,Tropical fruits
Purple mangosteen,Fruits,Tropical fruits
Alpine sweetvetch,Vegetables,Root vegetables
Milkfish,Aquatic foods,Fishes
Monkfish,Aquatic foods,Fishes
Moth bean,Pulses,Beans
Mountain yam,Vegetables,Tubers
Striped mullet,Aquatic foods,Fishes
White mustard,Herbs and Spices,Spices
Mustard spinach,Vegetables,Cabbages
New Zealand spinach,Vegetables,Leaf vegetables
Nopal,Vegetables,Other vegetables
Ocean pout,Aquatic foods,Fishes
North Pacific giant octopus,Aquatic foods,Mollusks
Ohelo berry,Fruits,Berries
Okra,Vegetables,Other vegetables
Tunicate,Aquatic foods,Other aquatic foods
Ostrich,Animal foods,Poultry
Spotted seal,Aquatic foods,Pinnipeds
Pacific herring,Aquatic foods,Fishes
Pacific oyster,Aquatic foods,Mollusks
Pacific rockfish,Aquatic foods,Fishes
Velvet duck,Animal foods,Poultry
Pepper (C. frutescens),Vegetables,Fruit vegetables
Common persimmon,Fruits,Tropical fruits
Pheasant,Animal foods,Poultry
Northern pike,Aquatic foods,Fishes
Pili nut,Nuts,Nuts
Colorado pinyon,Nuts,Nuts
Pitanga,Fruits,Tropical fruits
Plains prickly pear,Fruits,Tropical fruits
French plantain,Fruits,Tropical fruits
American pokeweed,Vegetables,Shoot vegetables
Opium poppy,Herbs and Spices,Spices
Prairie turnip,Vegetables,Root vegetables
Prickly pear,Fruits,Tropical fruits
Quinoa,Herbs and Spices,Other seeds
European rabbit,Animal foods,Lagomorphs
Rainbow smelt,Aquatic foods,Fishes
Rainbow trout,Aquatic foods,Fishes
Malabar plum,Fruits,Tropical fruits
Rose hip,Herbs and Spices,Herbs
Roselle,Herbs and Spices,Herbs
Orange roughy,Aquatic foods,Fishes
Sablefish,Aquatic foods,Fishes
Pink salmon,Aquatic foods,Fishes
Chum salmon,Aquatic foods,Fishes
Coho salmon,Aquatic foods,Fishes
Sockeye salmon,Aquatic foods,Fishes
Chinook salmon,Aquatic foods,Fishes
Atlantic salmon,Aquatic foods,Fishes
Salmonberry,Fruits,Berries
Common salsify,Vegetables,Root vegetables
Sapodilla,Fruits,Tropical fruits
Mamey sapote,Fruits,Tropical fruits
Spanish mackerel,Aquatic foods,Fishes
Pacific sardine,Aquatic foods,Fishes
Scallop,Aquatic foods,Mollusks
Scup,Aquatic foods,Fishes
Sea cucumber,Aquatic foods,Other aquatic foods
Steller sea lion,Aquatic foods,Pinnipeds
Bearded seal,Aquatic foods,Pinnipeds
Ringed seal,Aquatic foods,Pinnipeds
Sea trout,Aquatic foods,Fishes
Sesbania flower,Vegetables,Other vegetables
American shad,Aquatic foods,Fishes
Shark,Aquatic foods,Fishes
Sheefish,Aquatic foods,Fishes
"Sheep (Mutton, Lamb)",Animal foods,Ovis
Sheepshead,Aquatic foods,Fishes
Hedge mustard,Herbs and Spices,Other seeds
Skipjack tuna,Aquatic foods,Fishes
Snapper,Aquatic foods,Fishes
Soursop,Fruits,Tropical fruits
Spelt,Cereals and cereal products,Cereals
Spirulina,Aquatic foods,Seaweed
Squab,Animal foods,Poultry
Strawberry guava,Fruits,Berries
Greater sturgeon,Aquatic foods,Fishes
White sucker,Aquatic foods,Fishes
Sugar apple,Fruits,Tropical fruits
Pumpkinseed sunfish,Aquatic foods,Fishes
Swordfish,Aquatic foods,Fishes
Taro,Vegetables,Root vegetables
Teff,Herbs and Spices,Herbs
Tilefish,Aquatic foods,Fishes
Mexican groundcherry,Vegetables,Fruit vegetables
Towel gourd,Gourds,Gourds
Salmonidae,Aquatic foods,Fishes
Turkey,Animal foods,Poultry
Walleye,Aquatic foods,Fishes
Alaska pollock,Aquatic foods,Fishes
Wasabi,Herbs and Spices,Spices
Wax gourd,Gourds,Gourds
Whelk,Aquatic foods,Mollusks
Coalfish pollock,Aquatic foods,Fishes
Broad whitefish,Aquatic foods,Fishes
Whitefish,Aquatic foods,Fishes
Whiting,Aquatic foods,Fishes
Wild rice,Cereals and cereal products,Cereals
Tea leaf willow,Herbs and Spices,Herbs
Winged bean,Pulses,Beans
Yam,Vegetables,Tubers
Jicama,Vegetables,Root vegetables
Yautia,Vegetables,Leaf vegetables
Yellowfin tuna,Aquatic foods,Fishes
Yellowtail amberjack,Aquatic foods,Fishes
Pollock,Aquatic foods,Fishes
Albacore tuna,Aquatic foods,Fishes
Gadus,Aquatic foods,Fishes
Atlantic halibut,Aquatic foods,Fishes
Pacific halibut,Aquatic foods,Fishes
Pacific salmon,Aquatic foods,Fishes
Smelt,Aquatic foods,Fishes
Clupeinae,Aquatic foods,Fishes
Spiny lobster,Aquatic foods,Crustaceans
Snow crab,Aquatic foods,Crustaceans
Black-eyed pea,Pulses,Peas
Deer,Animal foods,Venison
Macadamia nut,Nuts,Nuts
Percoidei,Aquatic foods,Fishes
Perciformes,Aquatic foods,Fishes
Rabbit,Animal foods,Lagomorphs
Domestic goat,Animal foods,Caprae
Beefalo,Animal foods,Bovines
Bivalvia,Aquatic foods,Mollusks
Squid,Aquatic foods,Mollusks
Shrimp,Aquatic foods,Crustaceans
Crayfish,Aquatic foods,Crustaceans
Flatfish,Aquatic foods,Fishes
Domestic pig,Animal foods,Swine
Walrus,Aquatic foods,Pinnipeds
Alaska wild rhubarb,Vegetables,Stalk vegetables
Oriental wheat,Cereals and cereal products,Cereals
Yardlong bean,Pulses,Peas
Quail,Animal foods,Poultry
Boysenberry,Fruits,Berries
Persian lime,Fruits,Citrus
Feijoa,Fruits,Tropical fruits
Rowal,Herbs and Spices,Other seeds
Jew's ear,Vegetables,Mushrooms
Common mushroom,Vegetables,Mushrooms
Shiitake,Vegetables,Mushrooms
Purple laver,Aquatic foods,Seaweed
Wakame,Aquatic foods,Seaweed
Enokitake,Vegetables,Mushrooms
Epazote,Herbs and Spices,Herbs
Oyster mushroom,Vegetables,Mushrooms
Cloud ear fungus,Vegetables,Mushrooms
Maitake,Vegetables,Mushrooms
Ostrich fern,Vegetables,Leaf vegetables
Spot croaker,Aquatic foods,Fishes
Sourdock,Herbs and Spices,Herbs
Tinda,Gourds,Gourds
Atlantic menhaden,Aquatic foods,Fishes
Wheat,Cereals and cereal products,Cereals
Common chokecherry,Fruits,Drupes
Agave,Vegetables,Other vegetables
Narrowleaf cattail,Vegetables,Other vegetables
Jellyfish,Aquatic foods,Other aquatic foods
Anchovy,Aquatic foods,Fishes
Blue whiting,Aquatic foods,Fishes
Carp bream,Aquatic foods,Fishes
Chanterelle,Vegetables,Mushrooms
Sturgeon,Aquatic foods,Fishes
Charr,Aquatic foods,Fishes
Cinnamon,Herbs and Spices,Spices
Crab,Aquatic foods,Crustaceans
Common dab,Aquatic foods,Fishes
Spiny dogfish,Aquatic foods,Fishes
Anatidae,Animal foods,Poultry
Anguilliformes,Aquatic foods,Fishes
True frog,Aquatic foods,Amphibians
Garfish,Aquatic foods,Fishes
Gadiformes,Aquatic foods,Fishes
Mountain hare,Animal foods,Lagomorphs
Lake trout,Aquatic foods,Fishes
Lemon sole,Aquatic foods,Fishes
Clawed lobster,Aquatic foods,Crustaceans
Lumpsucker,Aquatic foods,Fishes
Scombridae,Aquatic foods,Fishes
Marine mussel,Aquatic foods,Mollusks
Norway haddock,Aquatic foods,Fishes
Norway lobster,Aquatic foods,Crustaceans
Norway pout,Aquatic foods,Fishes
Oil palm,Herbs and Spices,Oilseed crops
True oyster,Aquatic foods,Mollusks
Sago palm,Herbs and Spices,Oilseed crops
Persimmon,Fruits,Tropical fruits
Pikeperch,Aquatic foods,Fishes
Pleuronectidae,Aquatic foods,Fishes
Rock ptarmigan,Animal foods,Poultry
Pacific ocean perch,Aquatic foods,Fishes
Black salsify,Vegetables,Root vegetables
True seal,Aquatic foods,Pinnipeds
Red algae,Aquatic foods,Seaweed
Kombu,Aquatic foods,Seaweed
Snail,Aquatic foods,Mollusks
True sole,Aquatic foods,Fishes
Catfish,Aquatic foods,Fishes
Thistle,Vegetables,Root vegetables
Thunnus,Aquatic foods,Fishes
Walnut,Nuts,Nuts
Cetacea,Aquatic foods,Cetaceans
Columbidae,Animal foods,Poultry
Conch,Aquatic foods,Mollusks
Grape wine,Beverages,Fermented beverages
Berry wine,Beverages,Fermented beverages
Other wine,Beverages,Fermented beverages
Apple cider,Beverages,Fermented beverages
Liquor,Beverages,Distilled beverages
Cheese,Milk and milk products,Fermented milk products
Milk,Milk and milk products,Unfermented milks
Eggs,Eggs,Eggs
Yogurt,Milk and milk products,Fermented milk products
Bean,Pulses,Beans
Vodka,Beverages,Distilled beverages
Whisky,Beverages,Distilled beverages
Ice cream,Confectioneries,Frozen desserts
Gin,Beverages,Distilled beverages
Honey,Confectioneries,Other confectioneries
Liquorice,Confectioneries,Candies
Vinegar,Baking goods,Seasonings
Rum,Beverages,Distilled beverages
Port wine,Beverages,Fortified wines
Vermouth,Beverages,Fortified wines
Sherry,Beverages,Fortified wines
Madeira wine,Beverages,Fortified wines
Nougat,Confectioneries,Other confectioneries
Toffee,Confectioneries,Other confectioneries
Cake,Confectioneries,Desserts
Pizza,Dishes,Other dishes
Ymer,Milk and milk products,Fermented milk products
Other snack food,Snack foods,Snack foods
Crisp bread,Cereals and cereal products,Flat breads
Pastry,Confectioneries,Desserts
Chewing gum,Confectioneries,Candies
Marzipan,Confectioneries,Other confectioneries
Salad dressing,Baking goods,Dressings
Sauce,Baking goods,Sauces
Salt,Baking goods,Seasonings
Butter,Milk and milk products,Other milk products
Butter substitute,Baking goods,Substitutes
Cream,Milk and milk products,Other milk products
Sugar,Baking goods,Sugars
Sausage,Dishes,Ground meat
Meatball,Dishes,Ground meat
Mustard,Baking goods,Condiments
Pate,Dishes,Ground meat
Sugar substitute,Baking goods,Substitutes
Meat bouillon,Baking goods,Baking goods
Whey,Milk and milk products,Other milk products
Casein,Milk and milk products,Other milk products
Fruit preserve,Fruits,Fruit products
Leavening agent,Baking goods,Baking goods
Marshmallow,Confectioneries,Candies
Gelatin,Baking goods,Baking goods
Water,Beverages,Waters
Syrup,Baking goods,Baking goods
Tallow,Fats and oils,Animal fats
Remoulade,Baking goods,Condiments
Chocolate spread,Confectioneries,Spreads
Fruit gum,Confectioneries,Candies
Curry powder,Herbs and Spices,Herb and spice mixtures
Meringue,Confectioneries,Other confectioneries
Lard,Fats and oils,Animal fats
Other animal fat,Fats and oils,Animal fats
Other cocoa product,Cocoa and cocoa products,Cocoa products
Cocoa butter,Cocoa and cocoa products,Cocoa products
Cocoa powder,Cocoa and cocoa products,Cocoa products
Cocoa liquor,Cocoa and cocoa products,Cocoa products
Chocolate,Cocoa and cocoa products,Cocoa products
Hot chocolate,Cocoa and cocoa products,Cocoa products
Dried milk,Milk and milk products,Other milk products
Kefir,Milk and milk products,Fermented milks
Buttermilk,Milk and milk products,Fermented milks
Soy sauce,Soy,Soy products
Miso,Soy,Soy products
Tofu,Soy,Soy products
Zwieback,Cereals and cereal products,Leavened breads
Roe,Aquatic foods,Roe
Tilapia,Aquatic foods,Fishes
Icing,Confectioneries,Other confectioneries
Snack bar,Snack foods,Snack foods
Green turtle,Aquatic foods,Other aquatic foods
Energy drink,Beverages,Nutritional beverages
Burrito,Dishes,Tex-Mex cuisine
Hamburger,Dishes,Sandwiches
Baked beans,Dishes,Other dishes
Chili,Dishes,Tex-Mex cuisine
Taco,Dishes,Tex-Mex cuisine
Tortilla,Cereals and cereal products,Flat breads
Nachos,Dishes,Tex-Mex cuisine
Salad,Dishes,Other dishes
Dulce de leche,Confectioneries,Spreads
Topping,Baking goods,Baking goods
Sweet custard,Confectioneries,Milk desserts
Egg roll,Dishes,Asian cuisine
Heart of palm,Vegetables,Other vegetables
Popcorn,Snack foods,Snack foods
Potato chip,Snack foods,Snack foods
Tortilla chip,Snack foods,Snack foods
Corn chip,Snack foods,Snack foods
Hibiscus tea,Teas,Herbal teas
Stew,Dishes,Other dishes
Gelatin dessert,Confectioneries,Desserts
Junket,Confectioneries,Milk desserts
Falafel,Dishes,Other dishes
Frybread,Dishes,Other dishes
Morchella,Vegetables,Mushrooms
Pectin,Baking goods,Baking goods
Pudding,Confectioneries,Desserts
Waffle,Dishes,Other dishes
Soy milk,Soy,Soy products
Meatloaf,Dishes,Ground meat
Sake,Beverages,Fermented beverages
Cocktail,Beverages,Alcoholic beverages
Couscous,Dishes,Berber cuisine
Bulgur,Cereals and cereal products,Cereal products
Coffee mocha,Coffee and coffee products,Coffee products
Chimichanga,Dishes,Mexican cuisine
Semolina,Cereals and cereal products,Cereal products
Tapioca pearl,Baking goods,Baking goods
Tostada,Dishes,Mexican cuisine
Quesadilla,Dishes,Mexican cuisine
Spread,Baking goods,Baking goods
Enchilada,Dishes,Mexican cuisine
Egg substitute,Baking goods,Substitutes
